,LotArea,OverallQual,MasVnrArea,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,LowQualFinSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,PoolArea,PoolQC,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,Regular_or_not,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,age,relative_year_built,total_FullBath,total_HalfBath,PORCH,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12
10,11200,5,0,TA,3.0,906,134,1040,5,0,1040,5,0,1,0,,0,2008,WD,Normal,129500,1.0,0,1,0,0,0,0,0,0,43,0.6739130434782609,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,11924,9,286,Ex,3.0,998,177,1175,5,0,2324,11,2,3,0,,0,2006,New,Partial,345000,0.0,0,1,0,0,0,0,0,0,0,0.9637681159420289,4,0,21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,12968,5,0,TA,3.0,737,175,912,3,0,912,4,0,1,0,,0,2008,WD,Normal,144000,0.0,0,1,0,0,0,0,0,0,46,0.6521739130434783,2,0,176,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,10652,7,306,Gd,3.0,0,1494,1494,5,0,1494,7,1,3,0,,0,2007,New,Partial,279500,0.0,0,1,0,0,0,0,0,0,0,0.9710144927536232,2,0,33,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,10920,6,212,TA,3.0,733,520,1253,3,0,1253,5,1,1,0,,0,2008,WD,Normal,157000,0.0,0,1,0,0,0,0,0,0,48,0.6376811594202898,2,1,389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15,6120,7,0,TA,3.0,0,832,832,5,0,854,5,0,2,0,,0,2007,WD,Normal,132000,1.0,0,1,0,0,0,0,0,0,6,0.41304347826086957,1,0,112,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16,11241,6,180,TA,3.0,578,426,1004,5,0,1004,5,1,2,0,,700,2010,WD,Normal,149000,0.0,0,1,0,0,0,0,0,0,40,0.7101449275362319,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,10791,4,0,,0.0,0,0,0,3,0,1296,6,0,2,0,,500,2006,WD,Normal,90000,1.0,0,1,0,0,0,0,0,0,39,0.6884057971014492,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18,13695,5,0,TA,3.0,646,468,1114,5,0,1114,6,0,2,0,,0,2008,WD,Normal,159000,1.0,0,1,0,0,1,0,0,0,4,0.9565217391304348,2,1,102,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,7560,5,0,TA,3.0,504,525,1029,3,0,1339,6,0,1,0,,0,2009,COD,Abnorml,139000,1.0,0,1,0,0,0,0,0,0,44,0.6231884057971014,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,14215,8,380,Ex,3.0,0,1158,1158,5,0,2376,9,1,3,0,,0,2006,New,Partial,325300,0.0,0,1,0,0,0,0,0,0,0,0.9637681159420289,3,1,154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,7449,7,0,TA,3.0,0,637,637,5,0,1108,6,1,1,0,,0,2007,WD,Normal,139400,1.0,0,1,0,0,0,0,0,0,57,0.42028985507246375,1,0,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,9742,8,281,Gd,3.0,0,1777,1777,5,0,1795,7,1,2,0,,0,2008,WD,Normal,230000,1.0,0,1,0,0,0,0,0,0,6,0.9420289855072463,2,0,159,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,4224,5,0,Gd,3.0,840,200,1040,3,0,1060,6,1,2,0,,0,2007,WD,Normal,129900,1.0,0,1,0,0,0,0,0,0,31,0.7536231884057971,2,0,110,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,8246,5,0,TA,3.0,188,204,1060,5,0,1060,6,1,1,0,,0,2010,WD,Normal,154000,0.0,0,1,0,0,0,0,0,0,9,0.6956521739130435,2,0,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,14230,8,640,Gd,3.0,0,1566,1566,5,0,1600,7,1,3,0,,0,2009,WD,Normal,256300,1.0,0,1,0,0,0,0,0,0,2,0.9782608695652174,2,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,7200,5,0,TA,3.0,234,180,900,3,0,900,5,0,2,0,,0,2010,WD,Normal,134800,1.0,0,1,0,0,0,0,0,0,10,0.572463768115942,1,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,11478,8,200,Ex,3.0,1218,486,1704,5,0,1704,7,1,3,0,,0,2010,WD,Normal,306000,1.0,0,1,0,0,0,0,0,0,2,0.9782608695652174,3,0,50,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,16321,5,0,TA,3.0,1277,207,1484,3,0,1600,6,2,1,0,,0,2006,WD,Normal,207500,0.0,0,1,0,0,0,0,0,0,9,0.6159420289855072,2,0,258,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,6324,4,0,TA,3.0,0,520,520,2,0,520,4,0,1,0,,0,2008,WD,Normal,68500,0.0,1,0,0,0,0,0,0,1,58,0.39855072463768115,1,0,87,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,8500,4,0,TA,3.0,0,649,649,3,0,1317,6,0,1,0,,0,2008,WD,Normal,40000,1.0,1,1,0,0,0,0,0,0,58,0.34782608695652173,1,0,226,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31,8544,5,0,TA,3.0,0,1228,1228,4,0,1228,6,0,1,0,,0,2008,WD,Normal,149350,0.0,0,1,0,0,0,0,0,0,2,0.6811594202898551,1,1,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32,11049,8,0,Ex,3.0,0,1234,1234,5,0,1234,7,0,2,0,,0,2008,WD,Normal,179900,1.0,0,1,0,0,0,0,0,0,1,0.9782608695652174,2,0,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,10552,5,0,TA,3.0,1018,380,1398,4,0,1700,6,1,2,0,,0,2010,WD,Normal,165500,0.0,0,1,0,0,0,0,0,0,51,0.6304347826086957,1,2,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
34,7313,9,246,Ex,3.0,1153,408,1561,5,0,1561,6,1,2,0,,0,2007,WD,Normal,277500,1.0,0,1,0,0,0,0,0,0,2,0.9637681159420289,3,0,47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,13418,8,132,Ex,3.0,0,1117,1117,5,0,2452,9,1,3,0,,0,2006,WD,Normal,309000,1.0,0,1,0,0,0,0,0,0,1,0.9565217391304348,3,1,32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36,10859,5,0,Gd,3.0,0,1097,1097,5,0,1097,6,0,2,0,,0,2009,WD,Normal,145000,1.0,0,1,0,0,0,0,0,0,14,0.8840579710144928,1,1,64,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,8532,5,650,TA,3.0,1213,84,1297,4,0,1297,5,1,2,0,,0,2009,WD,Normal,153000,1.0,0,1,0,0,0,0,0,0,19,0.5942028985507246,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,7922,5,0,TA,3.0,731,326,1057,3,0,1057,5,0,1,0,,0,2010,WD,Abnorml,109000,1.0,0,1,0,0,0,0,0,0,3,0.5869565217391305,2,0,52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,6040,4,0,,0.0,0,0,0,3,0,1152,6,0,0,0,,0,2008,WD,AdjLand,82000,1.0,0,1,0,0,0,0,0,0,53,0.6014492753623188,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
40,8658,6,101,TA,3.0,643,445,1088,5,0,1324,6,1,2,0,,0,2006,WD,Abnorml,160000,1.0,0,1,0,0,0,0,0,0,41,0.6739130434782609,2,0,138,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,16905,5,0,TA,3.0,967,383,1350,4,0,1328,5,2,1,0,,0,2007,WD,Normal,170000,1.0,0,1,0,0,0,0,0,0,48,0.6304347826086957,1,2,104,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,9180,5,0,Gd,3.0,747,0,840,4,0,884,5,0,2,0,,0,2007,WD,Normal,144000,0.0,0,1,0,0,0,0,0,0,24,0.8043478260869565,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43,9200,5,0,Gd,3.0,280,167,938,3,0,938,5,0,1,0,,0,2008,WD,Normal,130250,0.0,0,1,0,0,0,0,0,0,28,0.7463768115942029,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44,7945,5,0,TA,3.0,179,465,1150,5,0,1150,6,0,1,0,,0,2006,WD,Normal,141000,1.0,0,1,0,0,0,0,0,0,47,0.6304347826086957,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,7658,9,412,Ex,3.0,456,1296,1752,5,0,1752,6,1,2,0,,0,2010,WD,Normal,319900,1.0,0,1,0,0,0,0,0,0,5,0.9637681159420289,3,0,82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,12822,7,0,Ex,3.0,1351,83,1434,5,0,2149,6,1,2,0,,0,2009,WD,Abnorml,239686,0.0,0,1,0,0,0,0,0,0,6,0.9492753623188406,2,1,241,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
47,11096,8,0,Gd,3.0,24,1632,1656,5,0,1656,7,0,3,0,,0,2007,WD,Normal,249700,1.0,0,1,0,0,0,0,0,0,1,0.9710144927536232,2,0,146,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
48,4456,4,0,TA,3.0,0,736,736,4,0,1452,8,0,0,0,,0,2009,New,Partial,113000,1.0,0,1,0,0,0,0,0,0,1,0.34782608695652173,2,0,102,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
49,7742,5,0,TA,3.0,763,192,955,5,0,955,6,0,1,0,,0,2007,WD,Normal,127000,1.0,0,1,0,0,0,0,0,0,41,0.6811594202898551,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,13869,6,0,Gd,3.0,182,612,794,4,0,1470,6,0,2,0,,0,2007,WD,Normal,177000,0.0,0,1,0,0,0,0,0,0,10,0.9057971014492754,2,1,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,6240,6,0,TA,3.0,0,816,816,3,360,1176,6,1,2,0,,400,2006,WD,Normal,114500,1.0,0,1,0,0,0,0,0,0,56,0.4492753623188406,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,8472,5,0,Gd,3.0,104,0,816,3,0,816,5,0,2,0,,0,2010,WD,Normal,110000,0.0,0,1,0,0,0,0,0,1,47,0.6594202898550725,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
53,50271,9,0,Ex,3.0,1810,32,1842,4,0,1842,5,1,3,0,,0,2006,WD,Normal,385000,0.0,0,1,0,0,0,0,0,0,19,0.7898550724637681,2,1,72,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,7134,5,0,TA,3.0,384,0,384,3,0,1360,6,1,2,0,,0,2007,WD,Normal,130000,1.0,0,1,0,0,0,0,0,0,52,0.6014492753623188,1,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55,10175,6,272,TA,3.0,490,935,1425,4,0,1425,7,1,2,0,,0,2008,WD,Normal,180500,0.0,0,1,0,0,0,0,0,0,44,0.6666666666666666,2,0,407,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
56,2645,8,456,Gd,3.0,649,321,970,5,0,1739,7,0,2,0,,0,2009,WD,Abnorml,172500,1.0,0,1,0,0,0,0,0,0,9,0.9202898550724637,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
57,11645,7,0,Gd,3.0,0,860,860,5,0,1720,7,0,2,0,,0,2006,WD,Normal,196500,0.0,0,1,0,0,0,0,0,0,2,0.9565217391304348,2,1,70,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
58,13682,10,1031,Ex,3.0,0,1410,1410,5,0,2945,10,1,3,0,,0,2006,New,Partial,438780,0.0,0,1,0,0,0,0,0,0,0,0.9710144927536232,3,1,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59,7200,5,0,TA,3.0,632,148,780,5,0,780,4,0,1,0,,0,2008,WD,Normal,124900,1.0,0,1,0,0,0,0,0,0,36,0.7246376811594203,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
